,Shareholders_Funds,Secured_Loans,Debt___Loan_Funds,Liabilities,Sundry_Debtors,Inventories,Cash_and_Bank_Balance,Current_Assets,Current_Liabilities,Sales_Turnover___Operating_Incom,Net_Sales,Income,Operating_Profit,Rating
0,8443.04,0.0,35.5,8598.4,484.35,1188.6,91.6,2169.5,3773.26,13240.71,11796.83,11916.13,1503.35,0
1,8235.61,0.0,0.0,8351.55,410.71,1255.59,304.3,2369.06,3784.21,13108.18,11738.21,12017.77,1775.54,0
2,7824.84,32.0,35.03,7966.01,397.22,1121.47,503.38,2400.93,3620.31,12471.74,11149.61,11428.75,1914.46,0
3,7382.8,157.0,163.06,8019.31,303.45,1133.55,678.38,2467.47,3390.0,12639.44,11357.96,11602.76,2125.02,0
4,7192.27,500.0,510.73,8198.32,187.74,1099.54,1652.56,3287.16,3272.61,10700.02,9660.29,9946.59,2112.63,0
5,6469.49,509.93,523.82,6993.31,178.28,914.98,980.03,2753.35,3746.42,8563.71,7717.33,8130.84,1910.91,0
6,120.47,0.0,0.0,121.62,26.18,7.91,47.95,94.66,25.19,193.2,184.38,189.77,37.29,0
7,104.84,0.0,0.0,105.84,26.34,7.21,37.59,78.55,22.99,171.41,163.32,167.97,29.36,0
8,96.92,5.5,5.5,103.43,23.87,6.66,34.71,73.06,18.74,145.72,138.83,141.74,26.16,0
9,87.87,12.58,12.64,101.42,27.43,6.97,14.78,57.63,22.65,142.09,135.06,138.75,23.51,0
10,80.87,21.79,21.79,103.3,13.08,9.31,15.06,46.6,18.22,140.38,134.96,139.75,24.84,0
11,102.92,22.79,26.63,129.97,11.63,8.54,19.87,50.06,19.26,107.75,103.38,108.69,18.15,0
12,97.41,1.26,1.26,98.67,10.23,7.31,24.04,50.77,17.51,93.75,89.77,99.62,20.43,0
13,126.96,43.2,56.88,192.32,23.56,29.88,3.46,60.76,38.84,200.68,179.64,170.3,27.88,0
14,124.26,69.94,87.14,219.88,24.38,47.62,2.11,78.72,40.19,179.19,162.73,170.58,22.38,0
15,123.46,54.92,68.86,198.56,22.07,31.79,1.16,58.31,31.93,157.29,140.99,138.48,20.92,0
16,121.53,47.99,67.8,192.3,20.01,41.29,1.09,67.36,33.84,166.73,149.47,150.98,19.52,0
17,119.61,39.88,50.81,172.8,23.82,43.75,1.33,71.89,31.46,193.4,176.91,197.76,30.28,0
18,110.97,19.02,25.4,139.83,49.56,21.91,2.85,80.72,36.14,223.64,203.37,191.92,46.77,0
19,90.76,4.57,4.57,95.33,36.27,31.91,2.49,76.78,34.6,173.86,160.53,166.1,35.94,0
20,3996.4,353.02,694.53,4705.55,292.76,1022.9,289.38,2228.76,1718.79,9704.61,8701.64,8628.66,1617.84,0
21,3270.69,675.94,1102.24,4387.69,320.01,1185.19,207.84,1918.75,1321.47,9966.34,8967.34,8985.16,1356.67,0
22,2739.82,1068.47,1518.98,4271.77,240.55,1283.69,221.11,2027.53,1449.28,9690.94,8711.74,8906.84,1112.89,0
23,2341.43,1313.08,2102.45,4456.29,302.01,1120.83,154.19,1764.06,1057.95,9457.14,8511.73,8572.24,961.34,0
24,2047.61,1718.69,2148.22,4201.87,363.91,1107.78,115.59,1836.5,1268.12,8906.54,8157.88,8152.62,690.59,0
25,1895.56,1093.3,1907.97,3815.65,204.28,1136.34,141.26,1693.04,1191.94,6000.96,5490.49,5913.7,573.77,0
26,1726.6,875.95,1132.97,2859.57,137.54,552.73,258.83,1220.32,868.95,5425.64,5036.56,5077.64,809.51,0
27,5514.14,910.0,2658.96,8314.69,1250.95,1730.59,1568.13,5290.6,4535.28,20313.06,19257.39,20314.49,1886.41,0
28,5118.7,1458.33,3349.72,8567.4,1242.67,1398.53,751.29,4284.54,4233.83,14840.21,13916.46,14461.65,1252.04,0
29,4447.89,2302.3,4690.32,9208.45,1299.01,1188.7,11.69,3142.36,3192.79,10918.31,10300.89,10555.2,738.74,0
30,4455.11,1903.46,4355.43,8890.83,1419.41,1896.02,13.94,4276.89,3678.5,13947.98,13130.62,13255.54,1228.38,0
31,4212.33,1143.33,3097.89,7386.78,1230.76,2230.62,32.56,4303.88,4038.6,14196.41,13379.93,13747.45,1298.04,0
32,3962.96,1182.3,2568.27,6609.69,1164.5,2208.9,179.53,3983.77,3539.74,12392.78,11416.88,11626.55,1258.15,0
33,3668.75,711.57,2280.44,5949.19,1022.06,1638.24,518.92,4152.13,2960.75,8035.12,7407.23,7750.25,850.73,0
34,4963.16,9.37,37.99,5097.06,759.06,1610.12,155.02,3064.77,3059.4,14950.6,13417.1,13479.54,2643.14,0
35,4230.26,6.71,39.57,4355.08,729.55,1802.18,61.84,3048.45,2751.02,13656.9,12263.77,12597.06,2187.84,0
36,3600.93,10.71,47.69,3715.86,712.36,1665.05,104.12,2897.33,2826.94,12167.02,10925.22,11174.22,1943.86,0
37,3022.26,17.12,54.1,3153.44,633.88,1480.79,551.57,2935.94,2349.4,10462.94,9394.03,9656.32,1676.79,0
38,2487.78,17.01,168.22,2724.78,500.24,1264.42,500.97,2461.39,1990.48,9118.92,8335.32,8591.88,1493.73,0
39,1975.32,31.31,73.62,2120.33,355.56,1071.76,509.01,2112.57,1659.21,7242.65,6621.01,6836.52,1233.15,0
40,1557.22,25.59,68.59,1625.81,331.43,763.14,28.6,1342.28,1460.44,5776.47,5372.73,5648.92,1184.51,0
41,94.01,61.95,69.64,167.12,105.45,38.65,2.41,205.47,169.78,608.51,597.61,594.49,7.38,0
42,97.27,96.12,102.98,203.79,118.54,44.78,5.54,226.24,155.48,626.72,615.54,618.4,-10.28,0
43,116.22,90.83,109.62,229.28,162.38,92.68,2.87,306.22,197.1,684.79,672.32,675.61,1.45,0
44,126.29,84.44,106.36,234.9,136.03,112.74,15.62,322.95,213.53,711.27,698.27,697.23,25.21,0
45,125.23,92.9,109.94,237.28,148.88,113.53,13.22,326.81,211.19,906.24,891.28,891.45,31.72,0
46,123.4,82.75,103.29,228.74,146.04,106.27,6.19,305.86,213.71,795.93,786.23,794.26,24.9,0
47,121.34,88.13,99.1,220.44,162.66,77.79,18.38,321.53,185.81,676.91,670.0,666.35,20.64,0
48,1480.44,0.0,13.51,1520.35,150.4,547.51,317.64,1216.7,705.82,3485.19,3059.8,3196.43,345.54,0
49,1316.88,0.0,20.79,1360.85,108.68,392.55,303.03,993.18,584.22,2638.9,2363.72,2435.62,212.78,0
50,1226.02,0.0,52.89,1303.53,135.08,377.25,216.09,845.31,461.73,2301.14,2021.63,2079.6,156.65,0
51,1152.95,0.0,41.99,1226.53,108.8,381.63,225.15,820.53,459.37,2276.35,1972.72,2046.81,97.53,0
52,1143.3,0.0,59.69,1240.51,156.43,362.4,462.09,1050.31,404.72,2369.16,2085.0,3107.24,1106.81,0
53,334.28,119.08,246.92,616.5,161.36,311.31,14.76,527.87,415.43,1780.62,1564.8,1598.68,149.91,0
54,283.32,62.0,147.83,431.15,150.23,193.73,25.71,434.45,347.78,1075.8,956.03,1045.32,101.61,0
55,2795.29,1114.1,1896.36,4695.3,553.33,286.4,302.84,1319.89,440.22,3291.78,3241.77,3519.28,1162.67,0
56,2291.67,1604.68,2357.84,4650.9,603.29,392.01,431.13,1680.98,475.05,3833.83,3779.9,4043.92,1014.35,0
57,1884.8,2064.84,2350.01,4234.07,618.47,529.08,9.8,1431.48,467.77,3615.17,3576.71,3587.07,907.73,0
58,1418.97,1722.07,2074.43,3587.32,504.49,432.55,266.31,1453.43,301.55,3220.2,3190.57,3231.22,668.74,0
59,1080.09,1305.78,1673.18,2786.71,479.61,481.07,357.4,1537.89,266.21,2844.57,2819.96,2871.22,509.19,0
60,831.77,386.92,607.03,1806.01,324.24,410.38,10.99,871.45,234.54,1953.12,1934.14,2028.15,370.04,0
61,660.77,264.27,464.33,1125.1,240.3,203.05,4.23,817.26,391.83,1362.15,1351.19,1408.1,396.05,0
62,1755.9,0.0,0.0,1821.6,496.3,658.2,763.2,1994.4,616.7,3943.0,3742.9,3945.7,494.9,0
63,2032.9,0.0,0.0,2095.1,571.1,564.7,1130.4,2344.3,678.0,3902.9,3723.3,3816.3,603.4,0
64,1742.3,0.0,0.0,1792.3,409.9,549.5,486.2,1852.6,594.6,3399.2,3245.2,3344.6,510.2,0
65,1931.3,0.0,0.0,1977.2,322.4,500.0,974.1,1992.2,436.0,2839.0,2725.3,3975.3,1603.5,0
66,792.7,0.0,0.0,828.7,256.2,499.5,429.9,1498.1,1012.0,2362.3,2272.3,2391.5,240.1,0
67,673.0,0.0,108.5,1061.4,281.4,437.4,363.0,1127.2,498.3,2225.9,2137.3,2194.6,239.8,0
68,559.79,1.49,113.97,673.76,197.6,348.0,15.35,679.24,395.75,1690.57,1624.76,1742.73,235.72,0
69,1510.45,61.24,66.51,1581.17,461.46,688.22,62.81,1270.62,882.27,4580.72,4132.62,4191.31,642.16,0
70,1292.8,213.08,288.49,1585.0,434.41,646.5,141.15,1287.4,691.68,4212.94,3806.51,3865.43,509.59,0
71,1131.89,299.6,302.8,1450.49,383.21,618.7,163.07,1252.39,684.42,3735.35,3384.82,3442.6,420.23,0
72,984.43,147.68,303.02,1299.92,324.55,576.91,222.54,1189.63,522.27,3330.61,3024.21,3096.46,367.08,0
73,845.6,71.87,169.85,1024.85,305.16,513.96,176.29,1047.19,472.93,2901.22,2662.09,2765.89,308.1,0
74,723.0,78.6,107.0,837.1,238.3,403.9,122.8,804.6,372.7,2299.1,2107.1,2195.2,253.3,0
75,626.22,24.41,24.46,650.68,204.73,299.33,37.56,590.01,317.69,1822.28,1684.17,1721.34,200.56,0
76,70.92,98.41,98.41,184.41,62.9,57.34,5.82,141.17,83.8,430.77,397.48,392.86,33.18,0
77,70.68,99.96,99.96,187.54,71.64,64.91,5.53,155.82,107.81,449.81,414.9,422.61,23.88,0
78,75.85,98.28,99.8,191.05,68.51,59.01,5.71,144.54,97.99,456.43,419.88,428.82,28.81,0
79,76.25,74.92,74.92,165.69,69.91,53.22,8.35,143.51,98.5,430.02,392.62,392.35,30.65,0
80,73.04,62.17,62.17,147.78,66.08,58.95,7.51,145.98,99.19,467.59,430.56,442.76,50.23,0
81,59.09,58.13,58.13,131.91,56.97,53.67,11.07,131.79,92.23,359.23,335.02,346.57,32.11,0
82,52.17,41.43,41.43,93.6,50.03,37.58,6.94,106.38,75.92,263.64,246.3,252.65,27.75,0
83,21710.13,13204.32,17096.77,41320.65,2404.4,424.96,256.09,18500.96,9487.29,10138.58,10138.58,13532.44,4550.93,0
84,21187.4,12686.78,16813.74,41008.3,5190.61,386.62,145.63,19480.22,8264.89,10612.82,10612.82,14184.38,3523.06,0
85,21292.37,11539.37,14841.57,39180.99,4722.34,360.6,201.97,18956.88,9462.82,11488.83,11488.83,12713.35,3135.22,0
86,20235.65,8139.18,11451.05,35064.3,3249.25,367.28,118.65,18937.79,8590.66,14449.33,14449.33,15950.49,3414.66,0
87,18650.43,5043.42,9189.0,33039.75,4565.59,309.4,686.07,17188.04,9890.32,18040.76,18040.76,18749.44,3333.63,0
88,17667.51,1583.93,3969.31,28581.89,2793.13,290.35,371.06,8589.84,6831.1,9716.53,9716.53,10366.44,1697.96,0
89,15152.19,1475.0,4114.9,19267.09,1742.93,269.15,301.82,12001.93,6628.71,9821.75,9821.75,10932.89,1908.84,0
90,4.52,8.85,24.0,29.56,6.29,6.61,1.13,23.85,23.03,45.97,41.77,54.05,11.1,0
91,0.63,8.46,19.26,21.14,8.57,8.59,1.94,20.88,37.27,51.59,46.71,40.03,-7.76,0
92,10.59,9.05,20.76,32.19,4.92,15.13,1.54,24.0,28.98,73.85,66.21,66.26,-6.78,0
93,11.23,7.89,30.93,42.95,5.35,17.97,2.22,28.07,18.86,68.45,61.74,60.85,-0.26,0
94,14.17,16.24,36.45,51.54,13.59,21.09,1.85,39.39,15.37,83.53,77.27,75.97,1.05,0
95,17.07,9.02,27.36,45.11,5.91,29.89,1.38,39.58,16.6,80.64,74.01,76.96,6.21,0
96,16.49,8.67,26.04,42.53,8.71,26.96,2.02,42.98,19.34,74.95,69.77,72.52,8.18,0
97,1703.02,0.68,0.68,1724.75,106.7,384.01,24.8,1073.76,1342.51,8176.82,7947.9,8053.23,1219.7,0
98,1239.19,0.97,0.97,1259.78,70.98,345.74,186.67,1041.41,1202.21,7344.79,7175.99,7448.92,1001.09,0
99,857.74,0.45,0.45,876.96,53.69,366.86,65.78,716.02,958.32,6423.15,6307.39,6354.79,611.44,0
100,643.52,0.53,215.48,878.18,77.12,331.49,64.48,669.88,791.23,5700.77,5615.49,5681.12,427.0,0
101,520.04,0.8,434.5,1091.27,52.14,382.28,30.94,647.44,572.91,5032.81,4974.19,5037.51,337.76,0
102,451.3,407.76,431.44,1021.41,57.26,311.2,28.75,467.84,454.84,4255.79,4223.52,4290.33,280.4,0
103,396.25,408.1,429.61,825.86,39.49,268.34,23.36,538.89,501.72,3426.64,3403.46,3475.64,166.41,0
104,947.01,21.33,109.08,1060.45,253.21,225.24,9.85,532.51,160.64,1401.63,1299.28,1346.16,238.39,0
105,859.89,21.6,83.54,947.92,224.29,208.42,6.66,482.64,156.43,1267.95,1168.69,1302.71,266.93,0
106,733.57,62.93,118.77,856.28,226.62,186.14,11.63,470.7,143.51,1247.73,1148.59,1176.54,164.49,0
107,684.54,114.77,132.21,820.26,202.37,179.96,8.87,446.73,149.53,1188.17,1100.89,1120.2,171.16,0
108,636.59,87.03,96.78,733.37,184.72,187.69,10.42,427.41,224.45,1203.22,1125.37,1172.39,250.36,0
109,528.22,155.77,164.65,692.87,177.22,154.8,7.82,373.15,208.39,990.22,925.29,990.69,224.67,0
110,428.86,264.81,283.84,712.7,160.02,119.16,6.13,328.26,124.65,783.12,738.12,767.43,143.38,0
111,755.88,69.7,69.7,840.79,155.77,146.64,6.2,319.13,67.92,1287.33,1143.64,1100.86,138.55,0
112,716.14,152.13,152.13,885.07,164.17,202.52,5.39,393.41,60.99,1370.0,1218.53,1240.53,122.69,0
113,701.13,174.78,194.81,908.16,190.63,212.05,6.11,425.32,67.78,1648.65,1466.79,1475.44,187.43,0
114,653.83,227.41,276.73,943.05,169.9,207.3,4.85,424.9,63.49,1747.14,1552.17,1517.33,132.85,0
115,647.59,327.56,352.43,1011.49,163.37,244.62,4.21,482.89,105.28,1821.29,1649.51,1646.89,99.5,0
116,651.72,312.73,406.37,1068.49,131.17,302.39,9.7,503.05,90.0,1489.4,1349.08,1437.97,183.52,0
117,574.89,192.0,207.61,782.5,94.03,196.34,3.96,373.52,85.78,1327.03,1230.87,1282.23,224.44,0
118,2206.76,5074.57,5806.92,8696.32,529.16,1298.78,101.75,2215.46,1040.99,8776.65,7987.58,7991.57,775.06,0
119,2064.26,4889.89,6138.57,8875.89,658.99,1423.94,124.24,2533.84,995.85,8292.96,7559.27,7744.53,700.14,0
120,1747.4,4600.7,5677.85,8066.83,525.79,1300.44,72.88,2260.83,957.94,7315.19,6675.13,6683.76,745.42,0
121,1804.95,4440.47,4850.1,7209.58,408.01,1203.79,53.49,1932.92,809.17,6538.96,5949.47,6032.91,604.69,0
122,1898.92,3161.78,4034.44,6267.68,333.45,1095.24,50.09,1706.42,761.69,5372.24,4872.78,4943.11,452.75,0
123,1953.1,2096.18,3111.53,5357.69,307.15,1070.66,40.64,1651.09,766.09,5216.27,4760.03,4835.68,701.13,0
124,1775.2,1761.12,2366.79,4141.99,225.11,868.42,57.41,1927.73,1364.58,4863.67,4483.35,4687.01,857.73,0
125,283.71,0.06,2.48,289.09,205.97,101.44,0.71,329.38,119.24,835.46,749.54,753.35,62.57,0
126,260.49,12.7,35.18,297.4,200.86,111.99,0.45,341.83,134.88,805.95,722.2,725.41,-20.28,0
127,291.38,3.29,23.29,316.31,202.67,108.39,6.4,346.56,122.44,794.88,711.71,711.79,28.65,0
128,283.14,11.04,34.04,318.91,202.34,114.54,4.9,349.58,127.76,796.88,715.99,718.14,46.98,0
129,265.91,12.7,22.7,290.76,188.43,103.53,14.05,331.78,128.08,742.36,676.99,686.92,51.21,0
130,243.73,11.48,11.48,255.21,149.14,85.44,17.65,285.26,100.39,604.82,553.36,605.29,75.77,0
131,2380.67,442.57,2254.4,4667.88,1804.59,2345.76,182.6,7024.91,4003.76,11654.3,11500.17,11702.73,860.62,0
132,2164.53,803.35,2281.93,4493.25,1436.68,2252.35,296.16,6476.38,3627.91,11455.63,11285.26,11748.42,905.07,0
133,2233.32,872.49,1517.68,3798.2,1294.14,1671.4,457.03,5022.61,3077.27,9503.16,9380.52,9565.84,787.37,0
134,2175.61,424.57,2270.24,4492.37,1610.89,1264.89,452.76,5209.95,2675.12,8665.52,8560.24,8480.07,801.54,0
135,2371.19,733.64,2464.1,4885.57,887.02,1855.61,917.85,5686.46,2353.01,9908.61,9823.27,10198.81,1142.44,0
136,1904.11,382.15,1369.77,3318.47,202.41,1513.12,902.05,4143.28,1823.88,7696.19,7639.26,7938.99,1136.49,0
137,1434.98,465.6,1917.8,3352.78,142.71,926.42,809.86,3362.24,952.35,6488.66,6452.77,6431.2,843.04,0
138,237.66,374.94,349.15,612.59,130.4,151.45,24.77,342.19,64.45,939.29,899.54,903.07,69.14,0
139,218.62,248.93,234.38,467.36,105.64,83.37,16.25,245.4,48.19,577.04,576.42,582.06,57.67,0
140,213.32,212.2,222.91,468.79,73.2,101.54,10.92,232.77,29.08,469.51,468.92,491.77,79.36,0
141,183.21,154.91,155.62,372.1,74.9,92.34,10.87,224.51,39.75,386.46,386.18,392.63,66.04,0
142,159.58,148.01,159.18,351.49,83.88,78.65,10.95,207.57,49.93,348.74,348.51,356.56,34.19,0
143,158.48,251.2,262.38,462.01,127.6,164.09,10.21,325.16,58.33,312.48,312.29,350.99,62.52,0
144,137.77,178.49,183.01,320.78,131.69,89.71,9.4,287.03,120.67,238.7,238.56,296.69,74.41,0
145,286.13,61.64,79.49,395.62,8.15,53.79,34.99,104.73,39.14,755.24,664.87,662.55,116.12,0
146,245.02,175.71,190.81,468.52,29.75,68.35,26.26,150.28,33.3,572.07,503.96,503.59,67.3,0
147,229.56,213.35,239.07,512.53,27.11,70.89,43.27,168.03,24.99,498.53,440.56,445.72,59.24,0
148,224.95,219.72,237.84,479.05,9.77,54.36,40.84,127.56,47.46,654.9,573.49,585.2,67.77,0
149,219.28,233.39,258.86,489.09,13.12,49.09,57.46,158.79,76.99,650.69,585.01,588.18,118.92,0
150,173.96,281.01,309.58,493.31,19.23,33.87,46.26,122.31,60.05,428.6,380.79,384.63,69.02,0
151,172.94,305.95,333.46,506.4,10.97,26.78,33.73,102.29,48.51,373.75,296.21,306.17,76.71,0
152,33.62,15.31,15.56,49.47,7.38,9.18,0.56,19.02,3.95,39.49,35.58,34.13,4.82,0
153,33.36,19.85,20.1,53.73,7.79,12.09,0.44,22.36,5.19,43.2,39.09,37.68,5.15,0
154,35.11,19.27,19.75,55.01,8.07,12.4,0.92,23.5,6.58,49.17,43.94,46.49,6.2,0
155,34.46,19.05,19.53,54.14,10.34,11.6,2.09,25.53,8.21,63.88,57.4,51.09,8.35,0
156,33.43,22.84,26.35,59.94,10.35,19.06,2.02,34.42,11.19,72.53,66.86,70.41,10.78,0
157,31.06,24.75,27.88,59.09,17.11,13.84,8.87,41.56,13.68,90.39,82.9,85.89,25.15,0
158,21.01,18.43,18.66,39.67,5.46,13.27,3.53,24.62,11.65,48.79,45.34,56.39,18.67,0
159,82.64,49.73,52.17,135.86,0.03,0.0,3.0,13.51,13.63,7.28,7.28,7.28,-5.65,0
160,92.46,35.35,35.35,131.78,0.17,0.45,16.15,28.55,11.34,13.52,13.52,13.52,2.9,0
161,93.12,25.46,25.46,123.43,0.38,0.45,35.39,44.27,7.46,15.19,15.19,15.26,4.36,0
162,94.38,0.59,0.59,96.01,0.57,0.45,32.92,43.72,11.26,18.02,18.02,18.07,9.1,0
163,95.05,0.79,5.96,102.0,0.26,0.45,43.41,55.38,8.04,18.4,18.4,28.08,20.19,0
164,88.36,0.74,1.66,90.04,1.25,0.0,13.15,25.9,8.72,14.86,14.86,38.25,28.48,0
165,73.27,0.43,0.43,73.7,1.33,0.0,8.91,24.57,11.17,20.9,20.9,21.84,11.48,0
166,1290.68,988.3,1248.32,2539.0,243.77,688.49,79.58,1088.28,916.38,2385.82,2310.44,1997.06,151.53,0
167,1369.18,1253.4,1845.0,3214.18,264.5,1078.84,42.09,1531.94,625.02,2142.66,2081.67,2302.94,389.18,0
168,1279.42,1476.22,1976.71,3256.13,247.39,1049.66,63.22,1479.07,503.05,1837.94,1782.01,2018.84,262.37,0
169,1346.88,1237.27,1833.58,3180.46,215.44,782.53,16.92,1304.95,320.26,2041.46,1992.49,2767.11,605.62,0
170,1217.63,517.58,885.22,2102.85,220.36,255.43,34.57,715.45,215.9,1583.26,1541.79,1784.24,274.47,0
171,1150.28,456.8,653.8,1804.08,129.1,190.46,49.4,758.59,151.24,1306.87,1271.41,1432.63,189.27,0
172,1096.34,486.63,575.52,1671.86,117.1,190.59,74.03,589.8,314.19,1185.76,1147.32,1324.8,355.36,0
173,541.06,0.0,63.8,607.72,163.1,97.77,38.08,476.57,200.45,924.29,869.13,876.58,84.4,0
174,533.0,0.0,113.34,648.47,166.38,112.98,22.73,442.76,167.97,815.33,775.94,788.95,102.33,0
175,496.05,0.0,92.37,588.42,178.41,105.19,21.91,444.61,197.17,877.43,828.33,837.2,128.03,0
176,436.32,0.0,19.83,456.15,149.5,99.3,23.64,372.41,189.97,872.55,816.54,827.17,113.33,0
177,383.6,0.0,0.0,383.6,119.26,92.69,109.39,393.32,176.58,844.4,794.76,819.56,119.17,0
178,325.99,0.0,0.0,325.99,87.26,87.51,117.68,388.11,188.44,828.71,775.71,787.82,135.05,0
179,258.2,0.0,0.1,258.3,71.16,59.24,102.14,362.39,216.74,614.04,581.14,591.5,99.13,0
180,347.45,255.72,255.72,607.7,113.11,252.53,52.11,490.61,294.27,1397.61,1313.35,1306.76,96.07,0
181,319.71,300.78,300.78,626.48,104.31,271.85,63.63,500.63,294.04,1337.33,1267.21,1291.95,92.39,0
182,294.52,243.18,243.18,543.78,80.71,242.09,25.14,409.31,255.42,1100.38,1040.96,1052.59,52.19,0
183,289.78,173.44,173.44,470.8,52.35,254.17,52.85,409.34,205.91,1077.73,1014.13,1067.26,106.53,0
184,249.51,81.04,81.04,338.13,41.7,157.98,33.03,257.43,158.92,933.82,886.86,903.47,98.55,0
185,208.54,105.79,110.79,322.37,32.14,153.55,18.66,231.97,133.17,763.64,723.09,748.72,77.7,0
186,173.7,119.89,128.18,301.88,23.19,123.32,19.21,210.84,110.82,680.9,652.54,670.07,70.03,0
187,207.06,52.26,89.19,306.48,126.89,62.89,4.01,210.2,92.55,490.25,448.13,446.29,64.49,0
188,183.5,65.21,94.85,291.25,105.65,66.52,2.14,191.31,76.76,529.55,481.55,498.16,78.96,0
189,150.09,68.74,102.42,265.34,100.97,48.14,8.84,173.0,70.29,456.46,415.93,421.62,43.78,0
190,133.95,49.04,72.95,214.95,88.86,42.71,6.82,156.08,72.05,420.5,384.12,393.01,44.05,0
191,122.96,47.77,75.46,203.79,83.92,47.6,7.34,152.77,66.45,339.11,315.5,331.11,37.21,0
192,110.82,27.23,51.78,167.21,60.42,38.54,4.15,119.88,56.74,293.41,274.99,282.78,35.76,0
193,102.15,34.18,60.11,162.26,56.37,33.82,2.55,115.07,53.35,248.61,235.09,237.85,30.39,0
194,1467.63,50.0,51.21,1524.15,125.92,336.81,218.82,767.19,271.14,2612.45,2461.09,2542.49,403.15,0
195,1264.81,125.03,126.72,1396.91,118.61,318.62,138.37,645.54,206.79,2574.79,2449.09,2478.02,340.76,0
196,1103.37,144.97,147.03,1255.72,145.17,352.4,64.86,623.03,278.73,2509.95,2359.04,2439.3,306.92,0
197,924.32,178.3,180.61,1163.17,149.65,329.63,39.81,596.48,206.5,2423.53,2270.68,2324.53,230.82,0
198,800.43,151.22,171.63,1006.45,114.09,281.14,49.0,521.47,176.99,2182.64,2064.16,2083.46,174.81,0
199,717.48,244.0,260.06,1031.14,130.24,280.84,21.29,538.09,157.44,2186.36,2035.75,2125.9,165.08,0
200,643.11,246.56,275.11,918.22,71.05,220.95,37.16,414.88,192.6,1726.6,1618.72,1707.37,145.09,0
201,2817.84,0.9,17.73,4432.74,78.42,820.81,499.55,1496.47,1474.79,8482.48,8175.31,8273.43,1164.18,0
202,2837.21,4.11,19.57,4245.44,99.1,844.1,445.82,1456.31,1351.34,10178.07,9854.84,10016.59,2126.12,0
203,2368.75,0.01,1189.49,4751.63,84.27,735.93,749.36,1674.76,1347.17,9419.02,9101.05,9092.63,2044.48,0
204,1798.41,0.24,1050.19,3863.35,87.57,745.58,236.96,1125.26,1138.49,8614.15,8334.53,8457.58,1856.37,0
205,1273.96,0.84,970.87,3129.96,115.42,734.04,227.21,1155.97,1221.6,7697.31,7514.55,7589.99,1546.36,0
206,855.42,0.0,0.0,855.42,63.29,575.95,255.29,1045.97,1669.61,6376.58,6254.74,6380.33,1273.94,0
207,53.04,194.63,199.3,253.63,45.73,114.14,8.8,187.67,45.75,341.42,335.49,370.4,33.26,0
208,52.88,146.3,152.88,206.77,34.72,96.29,8.77,163.42,69.68,366.98,359.09,347.7,48.51,0
209,40.6,179.93,190.99,232.4,47.66,95.45,7.6,182.59,62.77,309.34,304.57,317.14,30.29,0
210,35.84,176.69,185.93,222.49,34.46,81.9,9.99,157.21,36.66,260.66,257.64,274.07,25.03,0
211,33.58,148.85,157.12,191.65,40.97,65.39,6.14,133.18,41.53,397.06,394.63,276.9,26.19,0
212,36.13,147.95,174.96,211.09,37.48,191.45,6.4,261.03,126.52,208.62,208.58,298.17,23.73,0
213,244.56,10.94,10.94,255.5,7.1,1.62,1.27,11.53,6.66,47.2,47.2,47.51,3.38,0
214,245.63,8.06,8.06,253.69,6.48,1.51,2.05,11.98,7.22,48.64,48.64,48.08,4.01,0
215,247.88,1.15,7.79,255.67,5.57,2.18,5.03,14.87,5.71,46.7,46.7,47.02,2.74,0
216,249.49,1.48,1.48,250.97,5.46,2.38,8.28,17.59,6.73,50.76,50.76,53.65,10.34,0
217,288.92,4.13,4.13,293.05,5.34,2.09,12.35,20.87,7.64,59.07,59.07,62.75,14.6,0
218,284.97,8.81,9.0,293.97,4.61,2.06,9.18,17.45,5.91,69.25,69.25,71.36,18.25,0
219,279.59,16.8,16.8,296.39,3.92,2.1,7.14,112.09,7.15,61.92,61.92,64.9,13.76,0
220,379.93,0.12,10.94,400.1,192.37,113.19,36.24,374.4,263.57,1588.28,1438.23,1443.73,131.16,0
221,325.44,0.29,13.29,348.04,174.78,115.35,3.89,326.2,263.5,1594.5,1444.1,1446.89,120.16,0
222,285.18,47.16,65.97,355.24,136.08,119.45,4.71,285.55,223.94,1418.02,1284.58,1302.25,91.83,0
223,256.86,49.84,80.58,346.77,121.47,114.05,7.39,268.79,202.66,1331.14,1205.32,1218.03,80.75,0
224,231.25,96.51,123.04,357.41,126.56,124.99,5.59,287.28,171.35,1228.2,1128.23,1145.66,107.09,0
225,186.54,124.57,151.17,342.98,94.36,101.77,3.93,254.29,171.23,1056.53,969.98,985.41,96.38,0
226,149.28,104.57,148.81,298.09,77.31,79.96,13.41,234.01,131.68,751.87,696.99,712.07,71.41,0
227,584.42,145.78,306.8,896.22,44.57,131.43,49.96,263.37,71.95,887.62,842.16,853.59,85.11,0
228,567.03,152.49,358.71,930.72,48.11,133.71,52.44,281.62,69.25,934.38,886.8,909.77,85.23,0
229,606.44,139.44,379.71,990.63,58.94,145.56,91.26,349.93,68.79,878.82,835.18,882.32,85.1,0
230,595.06,132.99,291.64,890.79,45.11,92.14,98.56,280.31,58.63,811.51,776.0,768.96,80.61,0
231,512.15,213.87,225.9,746.27,19.4,117.75,57.43,222.52,54.65,827.51,788.36,833.97,105.11,0
