,Shareholders_Funds,Secured_Loans,Debt___Loan_Funds,Liabilities,Sundry_Debtors,Inventories,Cash_and_Bank_Balance,Current_Assets,Current_Liabilities,Sales_Turnover___Operating_Incom,Net_Sales,Income,Operating_Profit,Rating
5413,90.31,74.56,79.56,170.18,124.5,68.08,11.08,211.57,77.06,340.17,340.17,345.99,19.69,0
5414,67.17,62.84,69.84,137.24,84.47,51.49,5.11,149.82,50.06,229.43,229.43,232.56,17.43,0
5415,62.28,33.95,34.19,96.67,49.91,38.23,3.53,99.35,36.96,155.09,155.64,163.97,9.21,0
5416,59.5,19.92,21.06,80.78,40.41,19.37,4.95,73.78,11.36,98.01,98.01,104.87,6.77,0
5417,7.24,15.96,20.11,27.35,16.85,14.15,1.45,32.89,8.99,71.67,71.67,75.23,6.57,0
5418,23.61,79.69,79.79,103.44,38.6,0.78,0.38,77.08,21.18,28.78,27.52,32.3,4.03,1
5419,24.41,79.69,79.89,104.33,31.05,0.7,0.11,70.29,16.14,44.42,41.95,40.83,6.34,1
5420,23.64,79.69,80.34,104.0,37.06,10.1,0.08,62.48,18.49,62.75,58.61,58.31,-3.92,1
5421,41.7,67.21,70.62,0.0,50.26,18.1,1.38,82.31,32.27,103.01,97.04,93.25,2.03,1
5422,47.61,53.38,55.87,103.51,40.39,25.86,3.19,82.94,39.74,106.63,101.36,114.99,4.18,1
5423,55.11,41.48,51.91,107.04,29.28,21.55,0.15,58.12,9.99,77.5,70.23,68.25,8.85,1
5424,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.05,0.0,0.0,0.0,0.0,-0.02,1
5425,373.03,209.77,242.3,616.78,627.88,216.06,85.3,1004.48,549.42,1905.81,1905.81,1929.98,170.87,0
5426,273.62,172.38,203.99,478.55,464.07,172.8,59.87,767.18,406.87,1407.68,1407.68,1441.99,122.85,0
5427,222.37,115.37,145.68,368.55,337.59,141.36,40.14,565.26,300.11,986.03,986.03,998.26,97.22,0
5428,162.86,98.76,124.21,287.45,257.61,93.29,26.07,390.65,194.25,654.89,654.89,675.2,73.71,0
5429,137.2,86.35,104.74,241.94,197.91,58.33,17.28,290.17,137.11,460.55,460.55,479.81,55.26,0
5430,203.84,68.91,92.86,296.7,87.51,32.72,155.82,293.65,62.43,230.54,230.54,233.73,37.09,0
5431,41.52,67.77,81.81,123.33,60.19,26.95,4.33,98.87,45.56,169.91,169.91,174.81,29.64,0
5432,119.62,44.98,83.31,204.87,54.06,45.87,0.57,122.24,79.6,289.86,260.25,268.15,21.27,0
5433,117.9,57.06,89.98,209.06,44.41,33.25,0.11,104.77,57.84,261.68,238.73,242.54,15.13,0
5434,122.44,54.57,87.87,211.07,49.79,16.92,0.11,105.58,71.99,238.89,218.13,222.29,2.5,0
5435,142.5,62.58,91.96,235.4,35.36,27.86,4.49,97.47,52.56,319.94,302.64,311.54,11.56,0
5436,147.42,62.19,93.43,241.7,17.73,23.88,11.78,83.03,42.79,231.62,221.83,227.17,6.57,0
5437,45.41,66.89,68.46,113.87,36.94,16.66,6.16,83.56,47.1,448.09,423.94,427.51,30.86,0
5438,27.55,28.8,40.11,67.66,35.63,15.35,10.97,70.18,32.16,371.12,354.26,353.32,18.21,0
5439,26.84,7.84,7.84,34.68,2.86,8.29,9.42,35.5,6.91,41.3,41.3,48.98,0.25,0
5440,28.02,2.4,2.4,30.42,7.87,0.91,9.05,29.59,5.26,2.26,2.26,2.92,1.06,0
5441,18.62,1.16,1.87,20.49,5.26,0.26,8.63,23.21,7.95,25.61,25.61,23.84,0.12,0
5442,13.46,4.6,10.02,23.48,10.15,2.05,9.59,28.28,9.47,11.84,11.84,13.89,3.6,0
5443,13.53,2.45,22.14,35.67,24.4,0.0,12.9,46.15,13.43,11.3,11.3,11.3,9.65,0
5444,6.3,1.67,1.67,7.97,3.93,0.0,8.53,16.24,11.7,1.91,1.91,1.97,0.91,0
5445,160.96,44.74,44.74,214.59,117.23,44.82,67.17,231.37,55.34,325.1,325.01,339.65,46.23,0
5446,126.4,39.34,39.34,173.62,95.61,35.88,2.5,135.95,41.91,290.41,290.41,286.73,34.3,0
5447,36.18,56.02,56.46,97.7,77.11,43.08,2.71,123.95,43.02,232.06,232.06,244.11,24.46,0
5448,25.79,61.0,61.0,90.28,69.05,32.35,2.56,105.31,31.16,166.37,156.7,157.1,15.77,0
5449,20.86,57.15,61.15,84.16,62.62,32.41,5.88,102.33,34.22,153.19,140.97,141.83,13.05,0
5450,19.9,50.84,50.84,72.04,44.83,33.31,3.13,82.54,25.7,122.37,121.11,135.58,13.06,0
5451,0.05,0.0,0.0,0.05,0.0,0.0,0.04,0.04,0.0,0.0,0.0,0.0,0.0,0
5452,644.38,607.63,702.56,1349.29,807.87,550.78,63.85,1590.86,481.71,3732.83,3732.83,3876.2,118.98,1
